Winner,First Dragon,First Inhibitor,First Rift Herald,First Baron Nashor,First Tower,Barons,Dragons,Vision Score,Towers Taken,Time of CC Dealt,Kills,Assists,Deaths,Creep Score,Gold
False,False,False,True,False,True,0,2,138,4,62,24,28,24,673,52539
True,False,False,True,False,True,0,2,104,4,101,28,28,21,701,57883
False,False,False,True,False,False,0,1,74,1,59,8,12,17,508,32411
True,False,False,True,False,False,0,1,121,1,109,19,33,9,363,38936
True,True,False,True,False,True,0,4,154,5,87,18,32,14,389,43638
False,True,False,True,False,True,0,4,127,5,84,14,18,22,636,37791
True,True,True,False,True,True,1,4,125,7,39,35,35,25,708,57032
False,True,True,False,True,True,1,4,149,7,90,25,31,33,445,48946
False,False,False,False,False,False,0,0,61,0,49,9,12,17,307,26012
True,False,False,False,False,False,0,0,84,0,48,16,37,8,326,34972
False,False,False,False,False,False,0,0,83,0,51,18,24,27,461,36283
True,False,False,False,False,False,0,0,72,0,59,30,34,13,512,48663
True,True,False,False,False,True,0,2,73,4,62,13,33,10,247,26844
False,True,False,False,False,True,0,2,31,4,44,5,13,18,235,19749
False,False,False,False,False,False,0,0,30,0,19,3,4,15,321,18064
True,False,False,False,False,False,0,0,63,0,40,15,15,5,256,27767
False,False,False,True,True,True,1,3,131,6,90,26,48,21,704,56061
True,False,False,True,True,True,1,3,165,6,106,21,56,26,559,49766
False,False,False,True,False,False,0,0,108,3,57,7,17,25,429,33516
True,False,False,True,False,False,0,0,135,3,59,27,51,15,401,42726
True,True,True,True,True,True,1,4,179,9,101,22,45,15,531,47974
False,True,True,True,True,True,1,4,108,9,128,13,22,25,696,43713
False,False,False,True,False,False,0,0,69,0,76,12,18,23,630,36582
True,False,False,True,False,False,0,0,111,0,79,21,30,11,467,42995
False,False,False,False,False,False,0,1,88,1,37,7,15,16,519,28440
True,False,False,False,False,False,0,1,101,1,58,19,29,10,362,38437
True,False,True,True,True,True,1,1,129,8,36,15,10,13,672,43271
False,False,True,True,True,True,1,1,114,8,66,12,18,19,654,37891
True,True,True,True,True,True,1,3,167,10,157,27,42,25,351,48287
False,True,True,True,True,True,1,3,146,10,90,24,32,27,441,44906
True,False,True,True,True,True,1,3,126,11,86,22,44,11,463,46653
False,False,True,True,True,True,1,3,92,11,76,10,28,20,394,34840
True,False,True,False,True,True,1,3,181,10,165,28,50,19,571,51493
False,False,True,False,True,True,1,3,171,10,213,17,40,26,629,46803
False,False,False,False,False,False,0,0,21,0,13,3,3,7,101,12598
True,False,False,False,False,False,0,0,27,0,19,8,10,3,337,24279
True,False,False,True,False,True,0,1,71,4,30,8,12,3,275,26265
False,False,False,True,False,True,0,1,55,4,20,4,0,11,250,19265
True,True,True,False,False,True,0,3,99,9,76,20,41,12,437,36036
False,True,True,False,False,True,0,3,58,9,65,9,15,24,403,27672
False,False,False,True,False,True,0,0,125,4,49,19,23,30,476,41946
True,False,False,True,False,True,0,0,152,4,84,22,50,19,394,46386
False,False,False,True,False,False,0,1,121,2,58,15,27,21,368,32483
True,False,False,True,False,False,0,1,107,2,107,20,45,14,373,38627
False,True,False,True,False,True,1,3,195,7,175,25,59,45,423,53742
True,True,False,True,False,True,1,3,195,7,140,40,81,28,536,62061
True,True,True,False,True,False,1,3,194,10,102,46,68,30,480,62096
False,True,True,False,True,False,1,3,143,10,87,32,28,39,672,53575
False,True,False,True,True,True,1,1,156,4,87,22,40,28,686,48251
True,True,False,True,True,True,1,1,128,4,94,35,44,22,535,54038
False,True,False,True,False,True,0,2,83,2,77,10,20,27,513,32357
True,True,False,True,False,True,0,2,90,2,113,25,62,11,403,40608
True,False,True,True,True,True,1,2,172,9,127,37,60,23,665,59202
False,False,True,True,True,True,1,2,119,9,108,22,40,36,530,49868
False,False,True,False,False,False,0,3,203,10,78,22,36,34,648,62966
True,False,True,False,False,False,0,3,221,10,87,27,41,29,647,60729
False,False,False,False,False,False,0,0,39,0,28,4,5,13,232,19614
True,False,False,False,False,False,0,0,56,0,42,11,12,5,369,25126
True,True,False,False,False,True,0,2,62,3,38,7,19,11,400,27123
False,True,False,False,False,True,0,2,59,3,43,9,8,17,310,23003
False,False,False,True,False,True,0,0,146,5,83,29,41,29,518,43717
True,False,False,True,False,True,0,0,97,5,44,36,40,27,519,51534
True,False,True,False,True,True,1,1,61,10,30,17,16,8,578,41929
False,False,True,False,True,True,1,1,106,10,39,11,12,13,563,31806
True,True,True,True,True,True,1,4,104,9,63,28,50,16,518,44681
False,True,True,True,True,True,1,4,98,9,45,13,18,28,397,37095
True,True,True,False,True,True,2,3,236,11,121,33,54,35,614,66784
False,True,True,False,True,True,2,3,206,11,151,43,58,34,638,72731
True,True,True,True,False,True,0,1,35,8,40,7,14,4,207,21452
False,True,True,True,False,True,0,1,30,8,41,5,4,10,210,16461
False,False,False,False,False,True,0,0,105,1,77,12,30,26,418,36932
True,False,False,False,False,True,0,0,154,1,52,26,42,13,608,50029
True,True,False,True,True,True,2,3,191,9,94,29,39,21,517,54634
False,True,False,True,True,True,2,3,112,9,94,26,25,30,490,45953
False,True,False,False,False,False,0,2,84,0,38,9,7,17,484,28622
True,True,False,False,False,False,0,2,97,0,40,13,17,10,384,34918
False,False,False,False,False,False,0,0,75,0,61,8,10,12,312,24358
True,False,False,False,False,False,0,0,59,0,13,11,11,7,455,27271
True,False,False,False,False,False,0,2,104,3,36,15,16,6,623,38878
False,False,False,False,False,False,0,2,88,3,73,7,9,15,577,31967
True,False,True,False,True,False,1,2,102,10,87,25,55,19,431,45262
False,False,True,False,True,False,1,2,74,10,58,18,29,23,563,43805
False,False,False,False,False,False,0,0,92,0,49,7,12,18,387,27535
True,False,False,False,False,False,0,0,117,0,60,19,23,8,485,41835
False,True,False,False,False,True,0,2,125,2,89,23,35,36,633,44619
True,True,False,False,False,True,0,2,139,2,111,38,50,18,522,55131
True,False,True,False,True,False,1,2,114,9,121,16,41,19,461,43648
False,False,True,False,True,False,1,2,112,9,119,20,40,22,487,46360
True,False,True,True,False,True,0,1,105,9,80,20,33,10,377,36469
False,False,True,True,False,True,0,1,89,9,89,9,22,21,309,25766
False,False,False,True,False,False,0,0,85,2,102,8,11,20,357,29739
True,False,False,True,False,False,0,0,119,2,72,19,35,10,503,38178
True,True,False,False,False,True,0,3,84,4,31,15,16,8,504,32812
False,True,False,False,False,True,0,3,66,4,52,7,16,13,407,25151
